encoderB;encoderC;velocidad
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
-0;0;12
0.0544543;0.0544543;12.014
0.0544543;0.0544543;12.014
0.0544543;0.0544543;12.014
0.0544543;0.0544543;12.014
0.108909;0.0544543;12.014
0.108909;0.0544543;12.014
0.108909;0.0544543;12.014
0.163363;0.0544543;12.014
0.163363;0.0544543;12.014
0.217817;0.0544543;12.014
0.217817;0.0544543;12.014
0.217817;0.0544543;12.014
0.272271;0.0544543;12.014
0.272271;0.0544543;12.014
0.272271;0.108909;12.0562
0.326726;0.108909;12.0562
0.326726;0.163363;12.1263
0.38118;0.217817;12.2244
0.38118;0.217817;12.2244
0.38118;0.217817;12.2244
0.38118;0.326726;12.5039
0.435634;0.326726;12.5039
0.435634;0.38118;12.6851
0.435634;0.435634;12.8935
0.435634;0.435634;12.8935
0.435634;0.435634;12.8935
0.435634;0.435634;12.8935
0.435634;0.435634;12.8935
0.490088;0.490088;13.1289
0.490088;0.490088;13.1289
0.490088;0.544543;13.3911
0.490088;0.544543;13.3911
0.490088;0.544543;13.3911
0.490088;0.544543;13.3911
0.490088;0.544543;13.3911
0.490088;0.544543;13.3911
0.544543;0.544543;13.3911
0.544543;0.544543;13.3911
0.544543;0.544543;13.3911
0.544543;0.598997;13.6798
0.544543;0.598997;13.6798
0.598997;0.598997;13.6798
0.598997;0.598997;13.6798
0.598997;0.598997;13.6798
0.598997;0.598997;13.6798
0.653451;0.598997;13.6798
0.653451;0.598997;13.6798
0.653451;0.598997;13.6798
0.707906;0.653451;13.9946
0.707906;0.653451;13.9946
0.76236;0.653451;13.9946
0.76236;0.707906;14.3352
0.816814;0.707906;14.3352
0.816814;0.76236;14.7011
0.816814;0.76236;14.7011
0.816814;0.816814;15.092
0.871268;0.816814;15.092
0.871268;0.816814;15.092
0.925723;0.871268;15.5073
0.925723;0.871268;15.5073
0.980177;0.925723;15.9466
0.980177;0.925723;15.9466
0.980177;0.980177;16.4094
1.03463;0.980177;16.4094
1.08909;1.03463;16.8951
1.08909;1.03463;16.8951
1.14354;1.03463;16.8951
1.14354;1.08909;17.4032
1.19799;1.08909;17.4032
1.19799;1.08909;17.4032
1.25245;1.14354;17.9331
1.3069;1.19799;18.4841
1.3069;1.19799;18.4841
1.3069;1.25245;19.0556
1.36136;1.25245;19.0556
1.41581;1.3069;19.6469
1.41581;1.36136;20.2574
1.47027;1.36136;20.2574
1.47027;1.41581;20.8863
1.47027;1.41581;20.8863
1.52472;1.41581;20.8863
1.57917;1.52472;22.1964
1.57917;1.52472;22.1964
1.57917;1.57917;22.8761
1.57917;1.57917;22.8761
1.57917;1.63363;23.5712
1.68808;1.63363;23.5712
1.74254;1.68808;24.2808
1.74254;1.74254;25.0041
1.79699;1.74254;25.0041
1.85145;1.85145;26.4885
1.85145;1.85145;26.4885
1.9059;1.85145;26.4885
1.96035;1.9059;27.2478
1.96035;1.96035;28.0174
2.06926;2.01481;28.7963
2.06926;2.06926;29.5836
2.06926;2.06926;29.5836
2.17817;2.12372;30.3785
2.17817;2.17817;31.1799
2.23263;2.28708;32.7988
2.34153;2.28708;32.7988
2.34153;2.34153;33.6143
2.34153;2.39599;34.4327
2.39599;2.39599;34.4327
2.5049;2.5049;36.0738
2.55935;2.5049;36.0738
2.55935;2.55935;36.8948
2.61381;2.61381;37.7147
2.61381;2.72271;39.3475
2.72271;2.72271;39.3475
2.77717;2.77717;40.1585
3.10389;3.10389;44.8896
3.2128;3.2128;46.3931
3.2128;3.26726;47.127
3.32171;3.26726;47.127
3.37617;3.37617;48.5549
3.43062;3.43062;49.2473
3.48507;3.43062;49.2473
3.53953;3.53953;50.5847
3.59398;3.59398;51.2281
3.64844;3.64844;51.8538
3.75734;3.8118;53.6166
3.8118;3.86625;54.1638
3.92071;3.92071;54.6898
3.97516;3.97516;55.1939
3.97516;4.13853;56.5692
4.08407;4.13853;56.5692
4.19298;4.19298;56.9802
4.24743;4.30189;57.728
4.35634;4.4108;58.3741
4.46525;4.46525;58.658
4.5197;4.5197;58.9154
4.5197;4.62861;59.3495
4.68307;4.68307;59.5257
4.73752;4.73752;59.6744
4.90088;4.90088;59.9535
4.95534;4.95534;59.9906
5.00979;5.06425;60
5.00979;5.06425;60
5.17316;5.22761;60
5.28206;5.28206;60
5.33652;5.33652;60
5.33652;5.33652;60
5.39097;5.44543;60
5.55434;5.60879;60
5.66324;5.66324;60
5.66324;5.77215;60
5.7177;5.77215;60
5.82661;5.82661;60
6.04442;6.09888;60
6.04442;6.15333;60
6.15333;6.15333;60
6.20779;6.3167;60
6.4256;6.4256;60
6.4256;6.48006;60
6.58897;6.58897;60
6.64342;6.64342;60
6.75233;6.75233;60
6.86124;6.86124;60
6.86124;6.91569;60
7.0246;7.0246;60
7.13351;7.07906;60
7.24242;7.18796;60
7.24242;7.18796;60
7.40578;7.35133;60
7.51469;7.46024;60
7.56914;7.56914;60
7.67805;7.6236;60
7.78696;7.73251;60
7.89587;7.84142;60
8.00478;7.95032;60
8.00478;8.00478;60
8.27705;8.2226;60
8.49487;8.38596;60
8.54932;8.49487;60
8.54932;8.60378;60
8.65823;8.71268;60
8.87605;8.76714;60
8.98496;8.87605;60
9.09386;9.09386;60
9.14832;9.09386;60
9.36613;9.25723;60
9.47504;9.36613;60
9.47504;9.47504;60
9.58395;9.47504;60
9.69286;9.58395;60
9.80177;9.69286;60
9.91068;9.91068;60
10.0196;9.91068;60
10.1285;9.96513;60
10.183;10.074;60
10.2919;10.183;60
10.4008;10.2919;60
10.5097;10.4008;60
10.6186;10.5097;60
10.7275;10.5097;60
10.7275;10.673;60
11.3809;11.2176;60
11.4899;11.3265;60
11.5988;11.4354;60
11.5988;11.4354;60
11.6532;11.5443;60
11.7621;11.6532;60
11.9799;11.871;60
11.9799;11.9799;60
12.0888;11.9799;60
12.1978;12.0888;60
12.3067;12.1978;60
12.4156;12.4156;60
12.5245;12.4156;60
12.6334;12.6334;60
12.9057;12.7423;60
12.9057;12.8512;60
13.0146;12.8512;60
13.2324;13.069;60
13.3413;13.1779;60
13.5591;13.5047;60
13.668;13.5047;60
13.7769;13.6136;60
13.8858;13.8314;60
13.9947;13.8314;60
13.9947;13.8314;60
14.2126;14.0492;60
14.3215;14.1581;60
14.4304;14.267;60
14.5393;14.267;60
14.6482;14.4848;60
14.7571;14.7027;60
14.9749;14.8116;60
14.9749;14.8116;60
15.0838;14.9205;60
15.3017;15.1383;60
15.4106;15.2472;60
15.4106;15.2472;60
15.5195;15.4106;60
15.6284;15.5195;60
15.7373;15.6284;60
15.8462;15.7373;60
15.9551;15.8462;60
17.3709;17.4254;60
17.4798;17.4254;60
17.5887;17.6432;60
17.8065;17.7521;60
17.8065;17.861;60
17.9155;17.861;60
18.1333;18.0788;60
18.1877;18.1877;60
18.2966;18.2966;60
18.2966;18.2966;60
18.5145;18.5145;60
18.6234;18.6234;60
18.7323;18.9501;60
18.9501;18.9501;60
19.1679;19.1679;60
19.2768;19.3313;60
19.3857;19.4402;60
19.4946;19.658;60
19.6035;19.658;60
19.7124;19.7669;60
19.8214;19.8758;60
19.9303;19.9847;60
20.0392;20.0936;60
20.1481;20.2025;60
20.257;20.3114;60
20.257;20.4204;60
20.4748;20.5293;60
20.5837;20.6382;60
20.6926;20.7471;60
20.8015;20.856;60
20.9104;20.9649;60
21.0194;21.0738;60
21.1283;21.1827;60
21.3461;21.4005;60
21.3461;21.5094;60
21.5639;21.5094;60
21.6728;21.7273;60
21.9451;22.054;60
21.9451;22.1629;60
22.054;22.1629;60
22.1629;22.2718;60
22.3807;22.4896;60
22.3807;22.5985;60
22.4896;22.5985;60
22.7074;22.8163;60
22.8163;22.9252;60
22.8163;23.0342;60
22.9252;23.1431;60
23.1431;23.252;60
23.252;23.3609;60
23.3609;23.4698;60
23.4698;23.4698;60
23.5787;23.6332;60
23.6332;23.7421;60
23.7421;23.851;60
23.7421;23.9599;60
23.9599;24.0688;60
24.0688;24.1777;60
24.3955;24.5044;60
24.5044;24.6133;60
24.6133;24.7222;60
24.7222;24.8311;60
24.8311;24.9401;60
24.8311;25.049;60
25.049;25.049;60
25.1579;25.2668;60
25.2668;25.3757;60
25.3757;25.4846;60
25.3757;25.4846;60
25.5935;25.648;60
25.7024;25.7569;60
25.8113;25.8658;60
25.9202;25.8658;60
26.0291;26.0836;60
26.0836;26.1925;60
26.1925;26.3014;60
26.1925;26.4103;60
26.3014;26.4103;60
26.4103;26.5192;60
26.6281;26.6826;60
26.6281;26.7915;60
26.846;26.7915;60
26.9549;27.0093;60
27.0638;27.1182;60
27.3905;27.445;60
27.3905;27.445;60
27.6083;27.6083;60
27.8261;27.8261;60
27.9895;28.044;60
27.9895;28.044;60
28.0984;28.1529;60
28.3162;28.3162;60
28.4251;28.4251;60
28.534;28.4251;60
28.6429;28.6429;60
28.7519;28.7519;60
28.8608;28.8608;60
28.8608;28.9697;60
29.0786;28.9697;60
29.1875;29.1875;60
29.2419;29.2964;60
29.2419;29.4053;60
29.7865;29.7865;60
30.1132;30.1132;60
30.2221;30.1677;60
30.331;30.2766;60
30.331;30.2766;60
30.4944;30.4944;60
30.6033;30.6033;60
30.6033;30.7122;60
30.6033;30.7122;60
30.8211;30.8211;60
31.0389;30.9845;60
31.1478;31.0934;60
31.2568;31.2023;60
